FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE
2018-10-15,AA,N972NN,1210,MCO,LGA,1945,1959,14,2225,2256,31,160,177,139,950
2018-10-15,AA,N831NN,1211,ORD,EWR,850,849,-1,1154,1154,0,124,125,85,719
2018-10-15,AA,N926NN,1212,DFW,IAD,707,716,9,1058,1104,6,171,168,144,1172
2018-10-15,AA,N926NN,1212,IAD,DFW,1148,1151,3,1359,1411,12,191,200,178,1172
2018-10-15,AA,N995NN,1213,ORD,SEA,1200,1200,0,1434,1448,14,274,288,248,1721
2018-10-15,AA,N995NN,1213,SEA,ORD,1519,1526,7,2125,2140,15,246,254,210,1721
2018-10-15,AA,N933AM,1214,SLC,DFW,600,556,-4,942,1006,24,162,190,142,989
2018-10-15,AA,N314PD,1216,DFW,CLT,850,921,31,1221,1319,58,151,178,122,936
2018-10-15,AA,N159AN,1217,LAX,MIA,1335,1424,49,2139,2243,64,304,319,282,2342
2018-10-15,AA,N305NX,1218,DCA,PHX,1045,1039,-6,1245,1305,20,300,326,295,1979
2018-10-15,AA,N776AN,1219,DFW,MIA,1700,1657,-3,2049,2041,-8,169,164,136,1121
2018-10-15,AA,N906AN,1220,PBI,DFW,730,728,-2,940,920,-20,190,172,149,1102
2018-10-15,AA,N993NN,1221,ORD,BNA,2026,2025,-1,2153,2151,-2,87,86,64,409
2018-10-15,AA,N984NN,1222,BUF,CLT,1911,2019,68,2104,2207,63,113,108,87,546
2018-10-15,AA,N984NN,1222,CLT,BUF,1635,1804,89,1824,1942,78,109,98,77,546
2018-10-15,AA,N894NN,1223,RNO,DFW,1356,1351,-5,1912,1911,-1,196,200,172,1345
2018-10-15,AA,N934AN,1224,IAH,ORD,620,616,-4,909,840,-29,169,144,118,925
2018-10-15,AA,N930AU,1226,MIA,DFW,545,608,23,754,847,53,189,219,177,1121
2018-10-15,AA,N912NN,1227,BWI,CLT,1020,1025,5,1152,1156,4,92,91,63,361
2018-10-15,AA,N912NN,1227,CLT,BWI,800,758,-2,932,930,-2,92,92,56,361
2018-10-15,AA,N932AM,1228,MIA,LAX,930,932,2,1206,1205,-1,336,333,311,2342
2018-10-15,AA,N815NN,1229,DFW,SAN,1225,1310,45,1323,1406,43,178,176,157,1171
2018-10-15,AA,N815NN,1229,SAN,DFW,1429,1451,22,1933,1948,15,184,177,144,1171
2018-10-15,AA,N800NN,1230,SAT,ORD,802,840,38,1054,1120,26,172,160,126,1041
2018-10-15,AA,N913AN,1231,PHX,SEA,2035,2032,-3,2342,2323,-19,187,171,145,1107
2018-10-15,AA,N937AN,1232,MCO,ORD,1023,1017,-6,1225,1221,-4,182,184,152,1005
2018-10-15,AA,N919NN,1233,SMF,DFW,805,800,-5,1325,1315,-10,200,195,178,1431
2018-10-15,AA,N9619V,1234,DFW,MKE,2035,2146,71,2254,2339,45,139,113,95,853
2018-10-15,AA,N9011P,1235,MIA,IAH,1544,1541,-3,1727,1742,15,163,181,160,964
2018-10-15,AA,N886NN,1236,LAX,MSY,1825,1900,35,7,50,43,222,230,197,1670
2018-10-15,AA,N929AN,1237,MSY,LAX,840,841,1,1059,1056,-3,259,255,234,1670
2018-10-15,AA,N930NN,1239,BOS,ORD,953,947,-6,1149,1153,4,176,186,150,867
2018-10-15,AA,N969NN,1240,JFK,MCO,2015,2015,0,2315,2254,-21,180,159,137,944
2018-10-15,AA,N906AN,1241,DFW,SEA,1845,1900,15,2116,2055,-21,271,235,213,1660
2018-10-15,AA,N959NN,1242,DFW,MCO,1430,1427,-3,1804,1751,-13,154,144,126,985
2018-10-15,AA,N930NN,1243,DFW,SAN,1903,1957,54,2011,2111,60,188,194,160,1171
2018-10-15,AA,N881NN,1244,ORD,SAN,2031,2049,18,2247,2317,30,256,268,231,1723
2018-10-15,AA,N9017P,1245,DFW,MSP,1020,1040,20,1239,1253,14,139,133,102,852
2018-10-15,AA,N9017P,1245,MSP,DFW,1323,1331,8,1559,1623,24,156,172,144,852
2018-10-15,AA,N8031M,1247,MIA,MCO,1944,2001,17,2051,2106,15,67,65,40,192
2018-10-15,AA,N4032T,1248,MCO,MIA,1000,954,-6,1111,1052,-19,71,58,39,192
2018-10-15,AA,N328RR,1249,LGA,MIA,555,547,-8,902,831,-31,187,164,142,1096
2018-10-15,AA,N934AN,1251,ORD,BOS,1655,1958,183,2013,2259,166,138,121,88,867
2018-10-15,AA,N906AA,1252,DFW,SMF,1845,1911,26,2040,2045,5,235,214,193,1431
2018-10-15,AA,N893NN,1253,SFO,ORD,2359,2351,-8,613,609,-4,254,258,224,1846
2018-10-15,AA,N850NN,1254,MIA,SJU,1025,1023,-2,1303,1301,-2,158,158,128,1045
